id;Watched date;Name;Year;Genres;Runtime;Female directed;Country;Rewatch?;Like?;Rating;Mean rating;Total likes;Total reviews
1;22/1/23;Avatar: The Way of Water;2022;Action, Adventure, Science Fiction;192;FALSO;USA;FALSO;FALSO;3;3,6;473089;289785
2;22/1/23;Black Panther: Wakanda Forever;2022;Action, Adventure, Science Fiction;161;FALSO;USA;FALSO;FALSO;4;3,4;261707;167463
3;22/1/23;The Blair Witch Project;1999;Mystery, Horror;81;VERDADERO;USA;FALSO;FALSO;2;3,3;156479;66860
4;25/1/23;Whiplash;2014;Drama, Music;107;FALSO;USA;FALSO;VERDADERO;5;4,4;1327228;313085
5;22/1/23;Stand by Me;1986;Drama, Crime;89;FALSO;USA;FALSO;FALSO;4;4,1;276618;71326
6;22/1/23;The Menu;2022;Comedy, Thriller, Horror;107;FALSO;USA;FALSO;FALSO;4,5;3,5;650184;407700
7;29/1/23;The Fallout;2021;Drama;92;VERDADERO;USA;FALSO;FALSO;2;3,5;64562;45983
8;26/1/23;The Social Network;2010;Drama;120;FALSO;USA;FALSO;FALSO;3,5;3,9;758117;172772
9;31/1/23;Beautiful Boy;2018;Drama;120;FALSO;USA;FALSO;FALSO;4;3,9;262353;105031
10;4/2/23;Barbie: Princess Charm School;2011;Fantasy, Family, Animation;79;FALSO;USA, Canada;VERDADERO;FALSO;4;3,8;27192;12159
11;18/2/23;Harry Potter and the Philosopher's Stone;2001;Adventure, Fantasy;152;FALSO;UK, USA;VERDADERO;FALSO;5;3,8;650208;106471
12;19/2/23;Harry Potter and the Chamber of Secrets;2002;Adventure, Fantasy;161;FALSO;UK, USA;VERDADERO;FALSO;4,5;3,6;479485;77236
13;19/2/23;Harry Potter and the Prisoner of Azkaban;2004;Adventure, Fantasy;142;FALSO;UK, USA;VERDADERO;FALSO;5;4,1;755861;107174
14;26/2/23;American Pie;1999;Romance, Comedy;95;FALSO;USA;VERDADERO;FALSO;3;3,1;66913;21396
15;26/2/23;The Black Phone;2021;Thriller, Crime, Drama, Horror;103;FALSO;USA;FALSO;FALSO;3,5;3,3;192749;131890
16;20/2/23;Harry Potter and the Goblet of Fire;2005;Adventure, Fantasy;157;FALSO;UK, USA;VERDADERO;FALSO;4,5;3,8;507789;85025
17;20/2/23;Harry Potter and the Order of the Phoenix;2007;Adventure, Fantasy;138;FALSO;UK, USA;VERDADERO;FALSO;4,5;3,6;422870;69191
18;26/2/23;Harry Potter and the Half-Blood Prince;2009;Adventure, Fantasy;153;FALSO;UK, USA;VERDADERO;FALSO;3,5;3,7;401955;66046
19;21/2/23;Harry Potter and the Deathly Hallows: Part 1;2010;Adventure, Fantasy;146;FALSO;UK, USA;VERDADERO;FALSO;5;3,7;400816;57483
